material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system,space_group_order
2d62cc32c8,Na16SnGeAs8,26,686.9095307729553,2.8007074834430408,1158.5591084799998,26.99706638252903,13.462937223961196,0.0090949964849453,0.0211587865023167,0.2861988197477734,1.6902858285708973,0.6867924926667313,0.5627652884005544,0.6868926280929266,0.8342045067866248,True,F-43m,216.0,cubic,96
a009cad379,Na16HfSiAs8,26,676.6692857038411,2.8804546653105785,1173.78460848,27.34829520007193,13.656126712389955,0.0059124386310401,0.0249176715732447,0.2859563909138842,1.6888910975296756,0.6893325245587473,0.5397851073600349,0.6896380240768996,0.883535461912704,True,F-43m,216.0,cubic,96
5ac6adb089,Na16TiSnAs8,26,680.3522741057596,2.76723721017084,1133.7861084800002,27.22034641212228,13.520361998939064,0.007297615853672,0.021256808156284,0.286927459196872,1.6944885251271262,0.6902946153446223,0.5671434270152814,0.6909534584617749,0.8533528636529814,True,F-43m,216.0,cubic,96
0eee189007,Na16HfZrAs8,26,690.066897264818,2.976463811004674,1236.92310848,26.123760821916385,13.480530358753946,0.0155960528524706,0.0447630418176363,0.2798541485864211,1.6543597851206446,0.6924460563282576,0.4423274470525231,0.6928267841580666,1.0703484407704362,True,F-43m,216.0,cubic,96
d837069db2,Na16ZrGeAs8,26,683.8570334098713,2.7464674554427377,1131.07310848,26.39967578934517,13.349834554315557,0.0047036170657078,0.0351333334258536,0.2836304907965891,1.6755995538551758,0.6936997887995201,0.4971104749459958,0.6924325344436479,0.952232491963662,True,F-43m,216.0,cubic,96
b02da2868e,Rb16ZrSnSb8,26,1251.2559868048577,3.3860884474339503,2551.4988,11.194935653556575,9.246149683887968,0.0877251333331187,0.0862373811445942,0.1761869074994329,1.1990167642151373,0.7008029564559322,0.3102616734696639,0.7022514946045534,1.5349455178748292,True,F-43m,216.0,cubic,96
027da3b075,Rb16SnGeSb8,26,1240.0332174193366,3.391847834849864,2532.9148,11.225101839357668,9.315856369851542,0.077256837894446,0.0975497506375298,0.174961458561968,1.1947824013202073,0.7089240557950786,0.2663118473435106,0.7116913203653314,1.6683624045655,True,F-43m,216.0,cubic,96
3694cb6fa1,Na16SiSnAs8,26,680.16160412604,2.719718614100385,1114.00460848,27.94505425123437,13.773700732896604,0.009566045544205,0.0190924030656352,0.2883332480130628,1.702642675074708,0.7102041889755626,0.584956577585698,0.7105423745993887,0.857339272555926,True,F-43m,216.0,cubic,96
f87f5b6946,Rb16CeZrSb8,26,1253.656404639292,3.4079584527317714,2572.9048,11.429175707312467,9.42157129476015,0.0918637442314711,0.0718143401955827,0.1766724216681293,1.2007002466647765,0.7178101062878284,0.3403372694809498,0.7120274355167469,1.3949350728352683,True,F-43m,216.0,cubic,96
7fa9eb30ac,Na16ZrSiAs8,26,674.5163663585678,2.674815154196762,1086.51860848,27.28530305613501,13.698562646528506,0.002539014540489,0.0301089254937585,0.2849619847243875,1.6831886606498292,0.7219303153056723,0.5415379347246742,0.7269446781909426,0.9549815908255443,True,F-43m,216.0,cubic,96
