material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
12d9ab62e2,ZnCd2SbI3,7,280.2466211037221,4.696993803978803,792.70441,14.333360690555766,6.235906042792356,0.19765054484852135,0.19453722124510006,0.310019877280751,1.8365788172892,0.3990713633515885,0.0508798049006172,0.4042333657484188,2.4915359577967284,Pm,monoclinic,48.96905486692432,moderate,wide
a50d5f760c,TmInSnI6,9,424.7696041907879,4.549956463773534,1163.88903,7.495654893250167,3.797647775490572,0.40847047324902797,0.28550373198223217,0.2832773196509505,1.6735954319543804,0.2019567332957993,0.00915525686487292,0.18987257796623352,2.5003647443358985,R3,trigonal,273.1070008455306,moderate,wide
de7281ffad,ErAuBr2,8,290.158547199644,5.997949901171493,1048.067138,27.791027153542508,11.132941276435975,0.2577659367701883,0.10014873426260082,0.3232979081014192,1.926934054266856,0.6824505698289581,0.16602292727465137,0.6777955727965252,2.5240037152317885,Pm,monoclinic,15.202741914412426,tight,wide
f4cac039b3,TePdBr2,8,245.14126083442943,5.335428056530397,787.656,10.694461223211189,4.489218639363808,0.16663678614960353,0.2865128329621011,0.3158778010338876,1.8755980162885293,0.1842037601774622,0.011365620916788334,0.19042558238561652,2.544199505883477,P-1,triclinic,223.85046312123615,moderate,wide
391d35ee8b,Cs2Ru(Cl2F)2,9,272.4120433729692,3.3324503980198514,546.6897102,15.075686412274708,6.1166471464225145,0.14732969361915352,0.21863031604225017,0.3213029139121995,1.9129148663895348,0.3290276993912778,0.037651225514879046,0.33833414338854584,2.5582179814110493,I4/mmm,tetragonal,67.94514511619523,moderate,wide
452c058c00,ZrTi(ICl)3,8,322.24501930061376,3.226640424388373,626.16341,5.119722206489102,3.0053335317366447,0.03403858695885871,0.3075976377248727,0.2545263818514859,1.5219652483305082,0.2008915079593125,0.008767649837383672,0.2069050970307768,2.6121768392987113,P1,triclinic,297.9335269710319,moderate,wide
e4f9941a4e,K3RbLiAgAs2,8,254.67874080734308,3.0476082632287373,467.41510000000005,16.598102460188013,8.91186453612081,0.1139250025225776,0.1062912027917048,0.2722931615579935,1.613056081451772,0.8928321245870734,0.28145181792557034,0.8764202225487223,2.6186336685422664,P1,triclinic,9.30402115659726,tight,wide
39b7b87056,Er2AsBr5,8,333.13291498688415,4.0323515346142935,808.9595999999999,13.878714538676878,7.783820526057007,0.2672007917134184,0.12260195556524889,0.2637446527578095,1.5682248786779796,0.7239420039457052,0.13217901390703124,0.6738008910739505,2.6407015604477224,P1,triclinic,19.978221068475158,tight,wide
77e5bac279,K2Cd(IF)2,7,208.9342497433533,3.834058848894499,482.4133464,22.906887313500885,9.442279120964734,0.28223560680249377,0.10538946786192871,0.3187962416830122,1.8955279710038284,0.704333282149617,0.14640893106006145,0.7148288605203952,2.7039276883692547,C2/m,monoclinic,18.46832477220956,moderate,wide
8871a9f1c7,Rb4Cu2SbAs,8,276.6082790292051,3.996009086578119,665.6448,18.11338337194537,8.765853410373193,0.2196289869105565,0.12670015765249498,0.2916397904979227,1.722062967450828,0.702792012760079,0.14449407503909825,0.6935930247949873,2.7225584186661282,Amm2,orthorhombic,18.842007313652402,tight,wide
15aca1906a,K2RbSbO4,8,175.43559264491546,3.3073612588669903,349.422,30.81823747950553,9.51799488471989,0.26154378452321947,0.15856331913726893,0.359992024318584,2.2173206332054063,0.4617528231785603,0.07011156634930046,0.4410642103827872,2.7389628410527145,I-42m,tetragonal,39.06577735557954,moderate,wide
42894cf736,K2Zr(Te2Au)2,9,304.3061614627407,5.859263656632207,1073.753738,19.73733367665344,8.557315853457744,0.42311478774287226,0.14861651204905987,0.3105931360903632,1.840340580735072,0.4574812620673131,0.055073366622820606,0.4453567325293688,2.7397776211686207,C222,orthorhombic,49.747778085412094,moderate,wide
7b4a555740,GdRhI6,8,356.4750968645667,4.758754172167114,1021.58232,14.195191415326049,5.511884721359404,0.23538569821684485,0.23749917333370302,0.3281026220604772,1.961375762162368,0.276359925822981,0.022801944842648525,0.284084905870432,2.7483218059361336,P-31m,trigonal,120.53014884922011,moderate,wide
639f58958e,CsK2Li(AgAs)2,8,240.4750223192188,4.030057698467233,583.6226519,18.190900463382764,9.587182681873754,0.07981279218709475,0.123266530694477,0.2758603490201504,1.632343556654276,0.8340306351284765,0.23496937633057544,0.8186091708944769,2.7648350558300154,C2/m,monoclinic,11.76678892801845,tight,wide
ed99e65d29,Er2Pd(SeBr2)2,9,278.2941318893831,5.480395689383246,918.474,23.02103896309363,11.425519375524985,0.23293561230992907,0.10939228657370914,0.2870720655906891,1.6953245145510851,0.81648613561694,0.1874370073538638,0.7947020335382792,2.767828988298877,C2/m,monoclinic,14.766715641556692,tight,wide
