material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,ALIGNN_K_VRH_pred,ALIGNN_G_VRH_pred,ALIGNN_Kappa_cal,cross_model_ratio,both_models_clear_threshold
7a34973f56,RuPtBr6,8,256.4116995481002,5.02269425406325,775.578,10.190538375122928,3.8091264362865465,0.0561778874188857,0.1042089812196901,0.3338113317252507,2.003590136177339,0.1328427523717517,0.0485095302111258,0.1311680822981678,0.3837255153591641,C2,monoclinic,7.91031192611211,8.173014640808105,2.432324171066284,0.05272299005633496,2.5196361630819513,True
22772d2a07,Rb2ZrAgTe4Au,9,323.5096141481044,5.530146135131154,1077.394369,15.4273436006823,6.697467394166897,0.0347098454823712,0.0047806391076884,0.3103756843063435,1.8389122222873693,0.3332369084826396,0.2883229205513046,0.3326748269579802,0.3843185023747106,C222,orthorhombic,1.332944677585299,15.277175903320312,7.751413822174072,0.48856396809257985,1.4661160143310843,True
a50d5f760c,TmInSnI6,9,424.7696041907879,4.549956463773534,1163.88903,7.495654893250167,3.797647775490572,0.095759681770232,0.0629204245518461,0.2832773196509505,1.6735954319543804,0.2019567332957993,0.0969379569287756,0.2008642123798726,0.3874478452987144,R3,trigonal,3.99686415490878,6.186725616455078,4.560332298278809,0.38196068743086475,1.8912995927272187,True
a5b82da44f,AlIrBr6,8,241.0191703952035,4.8132686618709615,698.6225386,6.313207638000768,3.327080698140753,0.1419301425000197,0.0839485190754768,0.2758706841326296,1.632399949277249,0.1561274774966231,0.0588508039049258,0.1586564897409618,0.3886405784079583,C2,monoclinic,6.603827859952634,6.158137798309326,3.7632508277893066,0.21758524249680825,1.3936383651719118,True
7578a98a0d,Rb2Hf(Te2Au)2,9,314.70613479210937,6.6154267021966975,1253.758738,15.557442395067524,6.79392170691878,0.0177130484452106,0.0213813681874889,0.3093959690170097,1.8324984075534456,0.3103803314879496,0.2519691971332006,0.3112962346612427,0.3891844613970647,C222,orthorhombic,1.544571581864139,15.434806823730469,7.876546859741211,0.4560511747195785,1.4693301361374587,True
3b581a1679,Zr(GaI3)2,9,382.1664833838405,4.3107273960146335,992.09682,4.710672458287132,3.480495180075541,0.0653502170027269,0.0450570519494911,0.203577626767971,1.2995099463283164,0.2531236907958196,0.1546982838627665,0.2504012830701734,0.3952735774995022,R-3,trigonal,2.5551258076666907,3.4308791160583496,3.300595283508301,0.2921244216131761,1.1540777581692903,True
3e16fd27f7,K3BiSbAu3,8,259.6419831140217,6.644503899180879,1038.935007,24.609427989085344,8.02859080237067,0.0524749987592576,0.0155565047891669,0.352878744302799,2.155721504688769,0.3055949260267969,0.2342992725010391,0.3051812494716065,0.400998615106963,R3m,trigonal,1.7114804106153791,22.783767700195312,7.798890113830566,0.3085070999858078,1.0095295232708004,True
c4d8bb3c6f,Rb3Ag(SbAu)2,8,284.86623846527834,5.8392425606988825,1001.724738,18.73696976889577,7.041712083628168,0.0354858586347397,0.0201583093923616,0.3330097963804,1.997575825782819,0.3226321023706863,0.2542094363673229,0.3239223105220535,0.4150729697428003,C2/m,monoclinic,1.6327992212808171,14.938826560974121,6.153470516204834,0.2911044557660031,1.108303552144959,True
eb76dad8b3,K2Ru(Cl2F)2,9,223.7126873441661,2.665287999952478,359.0754064,20.004751265149267,6.80200322005514,0.0411056983334184,0.0170712057988702,0.3472975696960191,2.109311111306186,0.3331325051675312,0.259276857528603,0.330592065946978,0.4205178581532149,I4/mmm,tetragonal,1.6218873607214406,14.241753578186035,6.712477684020996,0.46456183906939147,1.394525697322046,True
a58f6bad97,ScSbBr6,8,296.284698046444,3.621316169680629,646.139912,7.654640207283863,3.887853199098377,0.1394319968681249,0.0365469142408563,0.282815845331694,1.670982285344946,0.2345503456740585,0.1215654965950385,0.2341779962810512,0.4206329731639437,R3,trigonal,3.460134536077823,5.467534065246582,3.303224563598633,0.21854456083367424,1.073238083708547,True
