material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,is_low_kappa_candidate,space_group,space_group_number,crystal_system
a8c78e6e21,K2CdSn(H6Ir)2,36,443.5074622621671,5.285531453910196,1411.69376,39.76738930428821,16.099624962246487,0.0937322192590936,0.0120638187155359,0.3216461028278691,1.9153149715525015,0.3273397785875886,0.2165197177687547,0.3280302972406144,0.4803943506286564,True,P-42m,111.0,tetragonal
6b1be64895,KCd2H8Ir,24,295.46673424311984,5.2176675618612345,928.40164,38.94557452573618,13.926238734496982,0.05339818890935,0.0467420435170316,0.3402501921610602,2.05297571789386,0.3033240114907843,0.1778174706899439,0.3046034197356868,0.5096868077823625,True,P4_2/mmc,131.0,tetragonal
d767dde0ce,CsRb2NaSn3Se8,30,1078.894951612387,4.046756251670271,2629.28164236,10.101762041268604,7.494086229821263,0.06359457566328,0.0334608583645187,0.202610687829232,1.295760363697979,0.3512510160996211,0.2417481191372074,0.3531404891531646,0.5120184482305262,True,P4/nbm,125.0,tetragonal
4b2c6676a6,Ag2Se6IBr,20,615.3846200217221,4.837135040020093,1792.60974,15.741506024075438,6.515051237357934,0.1093045817966714,0.1059394981771738,0.3181493268072395,1.891081412676496,0.1810992459370318,0.0584274883023175,0.1764461566082822,0.5252600631924071,True,P222_1,17.0,orthorhombic
c7aa5cb20d,Cs5Ce2S4Cl9,20,703.0521887014153,3.2879923620846427,1392.0962595,15.197377653306562,7.887788401971801,0.0862572838581185,0.0097435658158797,0.2787640239241511,1.648305377456499,0.3880222870043831,0.2703688479362939,0.3903202675038025,0.5352906377098005,True,Immm,71.0,orthorhombic
7ecc5ded18,K7RbZrSb4,26,1122.834493217162,2.7726657443039926,1874.8398,14.21623083710621,6.915968532688222,0.0388194727179534,0.0594605233298339,0.2906986029860743,1.7165003196689084,0.291794910587227,0.1595275525533279,0.2981579997691993,0.5359737026036795,True,I4_1md,109.0,tetragonal
83379cc316,LiTi2Ag3F12,36,550.9270373320251,3.9439887520248,1308.5208768,42.99753849455595,11.253754740457852,0.0272264715974678,0.1334182585302096,0.379635871618566,2.4032889421975896,0.1472845207005617,0.0432946584636068,0.1485107389835493,0.5517091415165482,True,P-42_1c,114.0,tetragonal
065ddd3691,Na2Ag6Se3S,24,540.052247608384,5.916689244346875,1924.26747712,29.775620468284483,11.626866040157283,0.065827423387878,0.0643802929693087,0.3272446248234308,1.955153851552792,0.2924782405725425,0.1468581270781509,0.2915890601104953,0.5741963072986301,True,Ima2,46.0,orthorhombic
80916912a7,K5RbNa2(Sn3Se8)2,30,985.1928687545314,3.880954715749764,2302.55883856,9.442890807178625,8.229952452745543,0.0726944355023942,0.0086616440263319,0.1623251360911324,1.1523194756187674,0.4603024821384422,0.3599254394189272,0.4594859934590311,0.5771480178513474,True,P422,89.0,tetragonal
f6cad1a3c8,PrNd2Bi4Au3,20,553.7454404177995,11.132603215688498,3712.425914,66.25494410352051,19.517891087794645,0.0288756410251747,0.0354417853352761,0.3658765284952807,2.270480902065053,0.4115296647117665,0.2833972378421393,0.4083130336811768,0.5879107133533258,True,I-42d,122.0,tetragonal
